title,body,category
Beginner PHP Tutorial - 11 - Output HTML Using echo/print,https://youtu.be/t3pp_fQWVWo,Technology
Beginner PHP Tutorial - 12 - Embedding PHP Inside HTML,https://youtu.be/4AmTiWaxwLU,Technology
Beginner PHP Tutorial - 13 - comments,https://youtu.be/OVyMffqb32k,Technology
Beginner PHP Tutorial - 14 - Error Reporting,https://youtu.be/qFFPrMID8FE,Technology
Beginner PHP Tutorial - 15 - More on Error Reporting,https://youtu.be/IxE4NdfhnEQ,Technology
Beginner PHP Tutorial - 16 - Variables,https://youtu.be/PL3NC52V4h4,Technology
Beginner PHP Tutorial - 17 - Concatenation,https://youtu.be/XJJVnLj1lgA,Technology
Beginner PHP Tutorial - 18 - if / if else Statement,https://youtu.be/r7O7EMrZ9EI,Technology
Beginner PHP Tutorial - 19 - if / else if Statement,https://youtu.be/F3U9WogSVsQ,Technology
Beginner PHP Tutorial - 20 - Assignment Operators,https://youtu.be/fPNmZ94FJfI,Technology
Beginner PHP Tutorial - 21 - Comparison Operators,https://youtu.be/xsIoEEJqPMo,Technology
Beginner PHP Tutorial - 22 - Arithmetic Operators,https://youtu.be/0xmbVzsxiY8,Technology
Beginner PHP Tutorial - 23 - Logical Operators,https://youtu.be/j9xt9ddFTEk,Technology
Beginner PHP Tutorial - 24 - Triple Equals,https://youtu.be/BrEm2dcoFxo,Technology
Beginner PHP Tutorial - 25 - while Loop,https://youtu.be/0HBLrQe2Ack,Technology
Beginner PHP Tutorial - 26 - do while Loop,https://youtu.be/MxPVNaArOSk,Technology
Beginner PHP Tutorial - 27 - for Loop,https://youtu.be/EFjiuTicHns,Technology
Beginner PHP Tutorial - 28 - switch Statement,https://youtu.be/VbiPMsBpJ7w,Technology
Beginner PHP Tutorial - 29 - die and exit Functions,https://youtu.be/zcKt7Lj1kjo,Technology
Beginner PHP Tutorial - 44 - Expression Matching,https://youtu.be/bvGMVmJ0mAk,Technology
Beginner PHP Tutorial - 30 - Basic Functions,https://youtu.be/5qmbPoaMlnY,Technology
Beginner PHP Tutorial - 31 - Functions with Arguments,https://youtu.be/8peN5QYpjCM,Technology
Beginner PHP Tutorial - 32 - Functions with a Return Value,https://youtu.be/yU0Z8sVGBx0,Technology
Beginner PHP Tutorial - 33 - Global Variables and Functions,https://youtu.be/jhZLfyscYgI,Technology
Beginner PHP Tutorial - 34 - String Functions Part 1,https://youtu.be/QTIlNPmwISY,Technology
Beginner PHP Tutorial - 35 - String Functions Part 2,https://youtu.be/OlqfAYoxK08,Technology
Beginner PHP Tutorial - 36 - String Functions Part 3,https://youtu.be/a8cwNsDnCrw,Technology
Beginner PHP Tutorial - 37 - String Functions Part 4,https://youtu.be/yx6VDuD5iXk,Technology
Beginner PHP Tutorial - 38 - Introduction to Arrays,https://youtu.be/bhNq7Y6QH0A,Technology
Beginner PHP Tutorial - 39 - Associative Arrays,https://youtu.be/0S10VOdez3g,Technology
Beginner PHP Tutorial - 40 - Multi-dimensional Arrays,https://youtu.be/TFDALOr-JKg,Technology
Beginner PHP Tutorial - 41 - for each Statement,https://youtu.be/U0PtKHhWzDc,Technology
Beginner PHP Tutorial - 42 - include and require Functions,https://youtu.be/7TkWocNqHU0,Technology
Beginner PHP Tutorial - 43 - include_once and require_once,https://youtu.be/VLlcGgovHNc,Technology
Beginner PHP Tutorial - 45 - More on Expression Matching,https://youtu.be/zAHHj7CY5Eo,Technology
Beginner PHP Tutorial - 46 - String Functions: String Length,https://youtu.be/xR9LddrVDmY,Technology
Beginner PHP Tutorial - 47 - String Functions: Upper / Lower Case Conversion,https://youtu.be/-jO3LdBNd-o,Technology
Beginner PHP Tutorial - 48 - String Functions: String Position Part 1,https://youtu.be/3yZq2Epb3FI,Technology
Beginner PHP Tutorial - 49 - String Functions: String Position Part 2,https://youtu.be/8Z5dy7_u8os,Technology
Beginner PHP Tutorial - 50 - String Functions: Replacing Part of a String,https://youtu.be/aGwa5yE43Mg,Technology
Beginner PHP Tutorial - 51 - String Functions: Replacing Predefined Part of a String,https://youtu.be/6JB2qGohdt4,Technology
Beginner PHP Tutorial - 52 - Word Censoring Part 1,https://youtu.be/hlfWVIia4yA,Technology
Beginner PHP Tutorial - 53 - Word Censoring Part 2,https://youtu.be/x3QH9tkoF5I,Technology
Beginner PHP Tutorial - 54 - Creating a Find and Replace Application Part 1,https://youtu.be/g74FGWy8Cs0,Technology
Beginner PHP Tutorial - 55 - Creating a Find and Replace Application Part 2,https://youtu.be/VQ2HSOKq9jM,Technology
Beginner PHP Tutorial - 56 - Creating a Find and Replace Application Part 3,https://youtu.be/IrV2HrfkTjs,Technology
Beginner PHP Tutorial - 57 - Creating a Find and Replace Application Part 4,https://youtu.be/Vs2B4Q1mmzI,Technology
Beginner PHP Tutorial - 58 - timestamps,https://youtu.be/0Oh-zCtpcok,Technology
Beginner PHP Tutorial - 59 - Modifying timestamps,https://youtu.be/eKv8uV07y5E,Technology
Beginner PHP Tutorial - 60 - Random Number Generation,https://youtu.be/ESm6kb-XVbU,Technology
Beginner PHP Tutorial - 61 - $_SERVER Variables: Script Name,https://youtu.be/k-toXiaTV0k,Technology
Beginner PHP Tutorial - 62 - $_SERVER Variables: Host Name,https://youtu.be/CFKEnbPBAKc,Technology
Beginner PHP Tutorial - 63 - Using the Header to Force Page Redirect,https://youtu.be/QYTmOVeVj24,Technology
Beginner PHP Tutorial - 64 - ob_start,https://youtu.be/V79Adzba1yA,Technology
Beginner PHP Tutorial - 65 - Getting Visitors IP Address,https://youtu.be/sGvPPw-kAl8,Technology
